ime,id,leto,minplay,maxplay,mintime,maxtime,minage,ocena,glasovi,kategorije,mechanic 
Animal Upon Animal,17329,2005,2,4,15,15,4,6.8375,6217,"['Action \\/ Dexterity', 'Animals', ""Children's Game""]","['Dice Rolling', 'Stacking and Balancing']"
Sequence,2375,1982,2,12,10,30,7,5.97388,6215,"['Abstract Strategy', 'Card Game']","['Hand Management', 'Pattern Building', 'Team-Based Game']"
Lancaster,96913,2011,2,5,60,60,10,7.44105,6211,['Medieval'],"['Area Majority \\/ Influence', 'Auction\\/Bidding', 'Voting', 'Worker Placement', 'Worker Placement, Different Worker Types']"
Not Alone,194879,2016,2,7,30,45,10,7.06606,6201,"['Bluffing', 'Card Game', 'Deduction', 'Science Fiction']","['Action Queue', 'Deck, Bag, and Pool Building', 'Hand Management', 'Simultaneous Action Selection', 'Team-Based Game']"
Attika,8051,2003,2,4,45,60,10,7.00709,6197,"['Ancient', 'City Building', 'Territory Building']","['Modular Board', 'Network and Route Building', 'Tile Placement']"
Dixit: Quest,55660,2010,3,6,30,30,8,7.71663,6185,"['Bluffing', 'Card Game', 'Deduction', 'Expansion for Base-game', 'Humor', 'Party Game']","['Simultaneous Action Selection', 'Storytelling', 'Voting']"
ICECOOL,177524,2016,2,4,30,30,6,6.86039,6180,"['Action \\/ Dexterity', 'Animals', ""Children's Game""]","['Area Movement', 'Flicking', 'Take That']"
Schotten Totten,372,1999,2,2,20,20,8,7.31028,6157,"['Card Game', 'Deduction']","['Hand Management', 'Set Collection']"
Rajas of the Ganges,220877,2017,2,4,45,75,12,7.6923,6150,"['Dice', 'Economic', 'Territory Building']","['Dice Rolling', 'Tile Placement', 'Worker Placement', 'Worker Placement with Dice Workers']"
Kill Doctor Lucky,257,1996,3,8,45,45,12,6.1562,6146,"['Humor', 'Murder\\/Mystery']","['Card Drafting', 'Hand Management', 'Point to Point Movement']"
Citadels:  The Dark City,13291,2004,2,8,60,60,10,7.02785,6145,"['Bluffing', 'Card Game', 'City Building', 'Expansion for Base-game', 'Fantasy', 'Medieval']","['Card Drafting', 'Set Collection', 'Variable Player Powers']"
Smash Up: Awesome Level 9000,134726,2013,2,2,45,45,12,7.28868,6099,"['Card Game', 'Fantasy', 'Horror', 'Humor', 'Spies\\/Secret Agents']","['Area Majority \\/ Influence', 'Hand Management', 'Take That', 'Variable Player Powers']"
Cleopatra and the Society of Architects,22141,2006,3,5,60,60,10,6.8067,6069,['Ancient'],"['Auction\\/Bidding', 'Card Drafting', 'Dice Rolling', 'Enclosure', 'Hand Management', 'Set Collection']"
London,65781,2010,2,4,90,90,13,7.37603,6054,"['City Building', 'Economic']","['Card Drafting', 'Hand Management']"
Arkham Horror: Dunwich Horror Expansion,21059,2006,1,8,240,240,12,7.81093,6011,"['Adventure', 'Expansion for Base-game', 'Fighting', 'Horror', 'Novel-based', 'Science Fiction']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Variable Player Powers']"
Scythe: Invaders from Afar,199727,2016,1,7,90,140,14,8.38705,6009,"['Economic', 'Expansion for Base-game', 'Territory Building', 'Wargame']",['Area Majority \\/ Influence']
Xia: Legends of a Drift System,82222,2014,3,5,60,180,12,7.8599,5999,"['Adventure', 'Exploration', 'Fighting', 'Science Fiction', 'Space Exploration', 'Transportation']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Map Addition', 'Modular Board', 'Pick-up and Deliver']"
Clank! In! Space!,233371,2017,2,4,45,90,12,7.87907,5993,['Science Fiction'],"['Card Drafting', 'Deck, Bag, and Pool Building', 'Modular Board', 'Player Elimination', 'Point to Point Movement', 'Push Your Luck']"
Tides of Time,176229,2015,2,2,15,20,8,6.70961,5961,"['Ancient', 'Card Game', 'Civilization']","['Card Drafting', 'Set Collection']"
This War of Mine: The Board Game,188920,2017,1,6,45,120,18,7.90633,5964,"['Adventure', 'Exploration', 'Mature \\/ Adult', 'Modern Warfare', 'Video Game Theme']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Push Your Luck', 'Role Playing']"
Vegas Showdown,15364,2005,3,5,75,75,12,7.18515,5914,['Economic'],"['Auction\\/Bidding', 'Auction: Fixed Placement', 'Network and Route Building', 'Tile Placement']"
Quantum,143519,2013,2,4,60,60,13,7.29497,5903,"['Dice', 'Fighting', 'Science Fiction', 'Space Exploration']","['Area Majority \\/ Influence', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Square Grid']"
Connect Four,2719,1974,2,2,10,10,6,4.85891,5897,"['Abstract Strategy', 'Animals', ""Children's Game""]",['Pattern Building']
Summoner Wars,58281,2009,2,4,30,60,9,7.28103,5895,"['Card Game', 'Fantasy', 'Fighting']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Take That', 'Variable Player Powers']"
Mahjong,2093,1850,3,4,120,120,8,7.02596,5879,['Abstract Strategy'],"['Hand Management', 'Set Collection']"
One Deck Dungeon,179275,2016,1,2,30,45,14,7.18134,5887,"['Card Game', 'Dice', 'Fantasy', 'Medieval', 'Video Game Theme']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Move Through Deck']"
Lords of Vegas,20437,2010,2,4,60,90,12,7.32776,5870,"['City Building', 'Dice', 'Economic']","['Area Majority \\/ Influence', 'Dice Rolling', 'Tile Placement', 'Trading']"
FUSE,171273,2015,1,5,10,10,10,7.08801,5873,"['Action \\/ Dexterity', 'Dice', 'Real-time']","['Card Drafting', 'Cooperative Game', 'Dice Rolling', 'Elapsed Real Time Ending', 'Pattern Building', 'Solo \\/ Solitaire Game']"
Everdell,199792,2018,1,4,40,80,13,7.99798,5875,"['Animals', 'Card Game', 'City Building', 'Fantasy']","['Drafting', 'End Game Bonuses', 'Worker Placement']"
AquaSphere,159508,2014,2,4,100,100,12,7.29348,5811,"['Nautical', 'Science Fiction']","['Area Majority \\/ Influence', 'Area Movement', 'Modular Board']"
Agricola (Revised Edition),200680,2016,1,4,30,120,12,8.08579,5802,"['Animals', 'Economic', 'Farming']","['Card Drafting', 'Enclosure', 'Hand Management', 'Worker Placement', 'Solo \\/ Solitaire Game', 'Team-Based Game']"
Ghost Blitz,83195,2010,2,8,20,20,8,6.72672,5792,"['Action \\/ Dexterity', 'Card Game', ""Children's Game"", 'Real-time']",['Pattern Recognition']
Cottage Garden,204027,2016,1,4,45,60,8,6.95199,5791,"['Farming', 'Puzzle']","['Card Drafting', 'Pattern Building', 'Tile Placement']"
Zombie Fluxx,29387,2007,2,6,10,40,8,6.00376,5775,"['Card Game', 'Zombies']","['Hand Management', 'Set Collection', 'Take That']"
Genoa,1345,2001,2,5,60,120,12,7.09452,5771,"['Negotiation', 'Renaissance']","['Auction\\/Bidding', 'Dice Rolling', 'Grid Movement', 'Negotiation', 'Pick-up and Deliver', 'Set Collection']"
A Game of Thrones: The Card Game,39953,2008,2,4,60,60,14,6.88116,5755,"['Card Game', 'Collectible Components', 'Fantasy', 'Fighting', 'Medieval', 'Negotiation']","['Card Drafting', 'Hand Management', 'Simultaneous Action Selection', 'Variable Player Powers']"
Queendomino,232043,2017,2,4,25,25,8,7.31904,5744,"['City Building', 'Fantasy', 'Medieval', 'Territory Building']","['Card Drafting', 'Enclosure', 'Tile Placement', 'Variable Phase Order']"
Abalone Classic,526,1987,2,2,30,30,7,6.44075,5705,['Abstract Strategy'],"['Grid Movement', 'Static Capture']"
Snow Tails,38054,2008,2,5,45,60,10,6.98246,5703,"['Animals', 'Racing', 'Sports']","['Hand Management', 'Modular Board', 'Player Elimination', 'Race']"
Belfort,50750,2011,2,5,120,120,12,7.2653,5645,"['City Building', 'Economic', 'Fantasy']","['Area Majority \\/ Influence', 'Card Drafting', 'Hand Management', 'Ownership', 'Worker Placement', 'Worker Placement, Different Worker Types']"
Power Grid: Factory Manager,44163,2009,2,5,60,60,12,6.86693,5639,"['Economic', 'Industry \\/ Manufacturing']","['Auction\\/Bidding', 'Commodity Speculation']"
Axis &amp; Allies,10093,2004,2,5,240,240,12,6.70515,5635,"['Economic', 'Wargame', 'World War II']","['Area Movement', 'Dice Rolling', 'Team-Based Game']"
Kanagawa,200147,2016,2,4,45,45,10,7.13562,5633,"['Animals', 'Card Game']","['Card Drafting', 'Hand Management', 'Pattern Building', 'Push Your Luck', 'Set Collection', 'Worker Placement']"
Get Bit!,30539,2007,3,6,20,20,7,6.17135,5614,"['Animals', 'Bluffing', 'Party Game', 'Pirates', 'Racing']","['Hand Management', 'Player Elimination', 'Simultaneous Action Selection']"
Blueprints,140933,2013,2,4,30,30,14,6.86423,5603,['Dice'],"['Dice Rolling', 'Pattern Building', 'Set Collection']"
Coimbra,245638,2018,2,4,60,90,14,7.72868,5612,"['Dice', 'Renaissance']","['Card Drafting', 'Dice Rolling', 'Set Collection', 'Worker Placement with Dice Workers']"
Loot,770,1992,2,8,20,20,10,6.30004,5578,"['Card Game', 'Nautical', 'Pirates']","['Area Majority \\/ Influence', 'Hand Management', 'Team-Based Game']"
Dungeon Twister,12995,2004,2,2,60,60,11,6.83894,5567,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Maze']","['Action Points', 'Grid Movement', 'Hand Management', 'Map Deformation', 'Modular Board', 'Secret Unit Deployment']"
Quoridor,624,1997,2,4,15,15,8,6.67482,5566,"['Abstract Strategy', 'Maze']","['Grid Movement', 'Square Grid']"
Small World: Cursed!,57072,2009,2,5,40,80,8,7.50834,5554,"['Expansion for Base-game', 'Fantasy', 'Fighting', 'Territory Building']","['Area Majority \\/ Influence', 'Area Movement', 'Dice Rolling', 'Variable Player Powers']"
Age of War,155695,2014,2,6,15,30,14,6.43359,5553,"['Dice', 'Medieval']","['Dice Rolling', 'Push Your Luck', 'Set Collection', 'Take That']"
DC Comics Deck-Building Game,125678,2012,2,5,45,45,15,7.03495,5534,"['Card Game', 'Comic Book \\/ Strip']","['Deck, Bag, and Pool Building']"
Race for the Galaxy: Rebel vs Imperium,40210,2009,1,6,60,60,12,7.94535,5503,"['Card Game', 'Civilization', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']","['Hand Management', 'Simultaneous Action Selection', 'Variable Player Powers']"
Warhammer: Invasion,47185,2009,2,2,45,45,13,7.23873,5488,"['Card Game', 'Collectible Components', 'Fantasy', 'Fighting', 'Mythology']","['Hand Management', 'Variable Player Powers']"
Balloon Cup,5716,2003,2,2,30,30,8,6.69395,5465,"['Aviation \\/ Flight', 'Card Game']","['Hand Management', 'Set Collection', 'Take That']"
Spyrium,137269,2013,2,5,75,75,12,7.10284,5441,"['City Building', 'Economic', 'Industry \\/ Manufacturing', 'Science Fiction']",['Worker Placement']
Dungeons &amp; Dragons: Wrath of Ashardalon Board Game,66356,2011,1,5,60,60,12,7.16403,5433,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Role Playing', 'Variable Player Powers']"
Mamma Mia!,49,1998,2,5,30,30,10,6.47972,5425,['Card Game'],"['Hand Management', 'Memory']"
Near and Far,195421,2017,2,4,90,120,13,7.8838,5419,"['Adventure', 'Exploration']","['Card Drafting', 'Dice Rolling', 'Network and Route Building', 'Set Collection', 'Storytelling', 'Variable Player Powers']"
Agricola: Farmers of the Moor,43018,2009,1,5,100,200,12,8.0943,5392,"['Economic', 'Expansion for Base-game', 'Farming']",['Worker Placement']
Tash-Kalar: Arena of Legends,146278,2013,2,4,30,60,13,7.20155,5390,"['Abstract Strategy', 'Card Game', 'Fantasy', 'Fighting']","['Area Majority \\/ Influence', 'Catch the Leader', 'Grid Movement', 'Hand Management', 'Pattern Building', 'Team-Based Game']"
Small World: Grand Dames of Small World,57070,2009,2,5,40,80,8,7.43172,5385,"['Expansion for Base-game', 'Fantasy', 'Fighting', 'Territory Building']","['Area Majority \\/ Influence', 'Area Movement', 'Dice Rolling', 'Variable Player Powers']"
Mastermind,2392,1971,2,2,20,20,8,5.51776,5385,"['Abstract Strategy', 'Deduction']",['Paper-and-Pencil']
Dominion: Cornucopia,90850,2011,2,4,30,30,13,7.71353,5379,"['Card Game', 'Expansion for Base-game', 'Medieval']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management']"
Rattus,42452,2010,2,4,45,45,10,6.81266,5371,"['Animals', 'Medieval']","['Area Majority \\/ Influence', 'Area Movement', 'Variable Player Powers']"
CV,143986,2013,2,4,60,60,10,6.68347,5338,"['Card Game', 'Dice', 'Humor']","['Card Drafting', 'Dice Rolling', 'Hand Management', 'Push Your Luck', 'Set Collection', 'Simulation']"
Battlestar Galactica: The Board Game – Pegasus Expansion,43539,2009,3,7,120,180,13,7.81816,5340,"['Bluffing', 'Deduction', 'Expansion for Base-game', 'Movies \\/ TV \\/ Radio theme', 'Political', 'Science Fiction']","['Dice Rolling', 'Hand Management', 'Role Playing', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']"
Metro,559,1997,2,6,30,30,8,6.37453,5329,['Trains'],"['Network and Route Building', 'Tile Placement']"
T.I.M.E Stories: The Marcy Case,180585,2015,2,4,60,90,12,7.65464,5326,"['Adventure', 'Expansion for Base-game', 'Mature \\/ Adult', 'Puzzle', 'Science Fiction']","['Cooperative Game', 'Dice Rolling', 'Role Playing', 'Storytelling', 'Variable Player Powers', 'Voting']"
Blue Moon,9446,2004,2,2,30,30,12,6.70862,5318,"['Card Game', 'Fantasy', 'Fighting']","['Auction\\/Bidding', 'Hand Management', 'Variable Player Powers']"
Marvel Dice Masters: Avengers vs. X-Men,148575,2014,2,2,60,60,14,7.20077,5317,"['Collectible Components', 'Comic Book \\/ Strip', 'Dice', 'Fighting']","['Deck, Bag, and Pool Building', 'Dice Rolling', 'Variable Player Powers']"
Dungeon Fighter,102548,2011,1,6,45,60,14,6.84801,5317,"['Action \\/ Dexterity', 'Exploration', 'Fantasy', 'Fighting', 'Humor']","['Card Drafting', 'Cooperative Game', 'Dice Rolling', 'Modular Board', 'Point to Point Movement', 'Variable Player Powers']"
Kalah,2448,700,2,2,10,10,5,5.87917,5312,['Abstract Strategy'],['Mancala']
Trickerion: Legends of Illusion,163068,2015,2,4,60,180,14,7.87424,5310,"['Action Points', 'Action Queue', 'Simultaneous Action Selection', 'Tile Placement', 'Worker Placement']","['Action Points', 'Action Queue', 'Simultaneous Action Selection', 'Tile Placement', 'Worker Placement']"
Killer Bunnies and the Quest for the Magic Carrot,3699,2002,2,8,45,45,12,5.48787,5293,"['Animals', 'Card Game', 'Humor', 'Negotiation']","['Action Queue', 'Dice Rolling', 'Hand Management', 'Set Collection', 'Take That', 'Trading']"
Dominion: Hinterlands,104557,2011,2,4,30,30,13,7.9875,5291,"['Card Game', 'Expansion for Base-game', 'Medieval']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management']"
Parade,56692,2007,2,6,45,45,12,6.95164,5283,"['Card Game', 'Novel-based']","['Hand Management', 'Set Collection']"
Lord of the Rings: The Confrontation,18833,2005,2,2,30,30,14,7.48609,5277,"['Adventure', 'Bluffing', 'Deduction', 'Fantasy', 'Movies \\/ TV \\/ Radio theme', 'Novel-based']","['Area Movement', 'Hand Management', 'Secret Unit Deployment', 'Simultaneous Action Selection', 'Variable Player Powers']"
Dominoes,2394,1500,2,10,30,30,5,5.45372,5279,"['Abstract Strategy', 'Game System', 'Video Game Theme']","['Pattern Building', 'Pattern Recognition', 'Team-Based Game', 'Tile Placement']"
Imperial 2030,54138,2009,2,6,120,180,12,7.69239,5265,"['Economic', 'Nautical', 'Political']","['Area Majority \\/ Influence', 'Area Movement', 'Rondel', 'Stock Holding']"
The Fox in the Forest,221965,2017,2,2,30,30,10,7.34167,5275,"['Animals', 'Card Game', 'Fantasy']","['Hand Management', 'Trick-taking']"
Say Anything,33604,2008,3,8,30,30,13,6.76526,5241,"['Humor', 'Party Game']","['Betting and Bluffing', 'Paper-and-Pencil']"
Louis XIV,13642,2005,2,4,75,100,12,7.08215,5235,"['Age of Reason', 'Card Game', 'Political']","['Area Majority \\/ Influence', 'Hand Management', 'Modular Board', 'Set Collection']"
Keltis,34585,2008,2,4,30,30,10,6.42448,5212,"['Hand Management', 'Point to Point Movement', 'Set Collection']","['Hand Management', 'Point to Point Movement', 'Set Collection']"
Dune,121,1979,2,6,60,180,12,7.62348,5190,"['Bluffing', 'Fighting', 'Negotiation', 'Novel-based', 'Political', 'Science Fiction']","['Alliances', 'Area Majority \\/ Influence', 'Area Movement', 'Auction\\/Bidding', 'Hand Management', 'Team-Based Game']"
Automobile,39351,2009,3,5,120,120,12,7.34319,5181,"['Economic', 'Industry \\/ Manufacturing']","['Commodity Speculation', 'Variable Player Powers']"
Machi Koro: Harbor,143789,2012,2,5,30,30,10,7.09297,5176,"['Card Game', 'City Building', 'Dice', 'Expansion for Base-game']","['Dice Rolling', 'Set Collection']"
Onirim,71836,2010,1,2,15,15,8,6.69672,5173,"['Card Game', 'Exploration', 'Fantasy', 'Maze']","['Cooperative Game', 'Hand Management', 'Set Collection', 'Solo \\/ Solitaire Game']"
Manila,15817,2005,3,5,60,60,10,6.99462,5175,"['Nautical', 'Pirates', 'Transportation']","['Auction\\/Bidding', 'Betting and Bluffing', 'Commodity Speculation', 'Dice Rolling', 'Worker Placement']"
Sorry!,2407,1929,2,4,30,30,6,4.49758,5165,"[""Children's Game""]","['Roll \\/ Spin and Move', 'Take That']"
Junta,242,1978,2,7,240,240,16,6.70733,5140,"['Bluffing', 'Humor', 'Mafia', 'Negotiation', 'Political', 'Wargame']","['Area Movement', 'Dice Rolling', 'Hand Management', 'Simultaneous Action Selection', 'Trading', 'Variable Player Powers']"
Steam Park,121410,2013,2,4,60,60,8,6.91247,5132,"['City Building', 'Dice', 'Real-time', 'Science Fiction']","['Card Drafting', 'Dice Rolling', 'Memory', 'Modular Board']"
Skip-Bo,1269,1967,2,6,20,20,8,5.41348,5125,['Card Game'],['Hand Management']
Room 25,127024,2013,1,6,30,30,13,6.77894,5103,"['Bluffing', 'Deduction', 'Exploration', 'Horror', 'Maze', 'Negotiation']","['Action Queue', 'Cooperative Game', 'Grid Movement', 'Memory', 'Modular Board', 'Player Elimination']"
Cry Havoc,192457,2016,2,4,60,120,10,7.28429,5102,"['Fighting', 'Miniatures', 'Science Fiction', 'Wargame']","['Area Majority \\/ Influence', 'Area Movement', 'Deck, Bag, and Pool Building', 'Hand Management', 'Variable Player Powers']"
Dungeons &amp; Dragons: The Legend of Drizzt Board Game,91872,2011,1,5,60,60,12,7.27509,5097,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Role Playing', 'Solo \\/ Solitaire Game']"
Chrononauts,815,2000,1,6,30,30,11,6.20221,5089,"['Bluffing', 'Card Game', 'Deduction', 'Educational', 'Political', 'Science Fiction']","['Hand Management', 'Modular Board', 'Push Your Luck']"
Small World: Be Not Afraid...,81618,2010,2,5,40,80,8,7.63109,5091,"['Expansion for Base-game', 'Fantasy', 'Fighting', 'Territory Building']","['Area Majority \\/ Influence', 'Area Movement', 'Dice Rolling', 'Variable Player Powers']"
Altiplano,234487,2017,2,5,60,120,12,7.56154,5098,"['Action Points', 'Deck, Bag, and Pool Building', 'Variable Player Powers']","['Action Points', 'Deck, Bag, and Pool Building', 'Variable Player Powers']"
Tsuro of the Seas,124172,2012,2,8,30,30,8,6.56886,5088,"['Abstract Strategy', 'Nautical']","['Dice Rolling', 'Hand Management', 'Network and Route Building', 'Player Elimination', 'Tile Placement']"
World of Warcraft: The Boardgame,17223,2005,2,6,180,180,12,6.65411,5078,"['Adventure', 'Fantasy', 'Fighting', 'Video Game Theme']","['Area Movement', 'Dice Rolling', 'Hand Management', 'Team-Based Game', 'Variable Player Powers']"
Rivals for Catan,66056,2010,2,2,45,120,10,7.00015,5073,"['Card Game', 'City Building', 'Medieval', 'Territory Building']","['Card Drafting', 'Dice Rolling', 'Hand Management']"
The Bloody Inn,180593,2015,1,4,30,60,14,6.96389,5069,"['Card Game', 'Economic', 'Horror']","['Card Drafting', 'Hand Management', 'Solo \\/ Solitaire Game']"
BattleLore (Second Edition),146439,2013,2,2,45,90,14,7.78609,5061,"['Fantasy', 'Miniatures', 'Wargame']","['Campaign \\/ Battle Card Driven', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Variable Player Powers']"
Quarto,681,1991,2,2,20,20,8,6.86934,5055,['Abstract Strategy'],['Pattern Building']
Blood Bowl (Third Edition),712,1994,2,2,180,180,12,7.54276,5050,"['Fantasy', 'Fighting', 'Miniatures', 'Sports']","['Dice Rolling', 'Grid Movement', 'Variable Player Powers']"
Defenders of the Realm,65532,2010,1,4,90,90,13,7.32616,5049,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Variable Player Powers']"
Amerigo,137408,2013,2,4,90,90,10,7.47945,5045,"['Nautical', 'Renaissance']","['Action Points', 'Cube Tower', 'Grid Movement', 'Modular Board', 'Tile Placement']"
Bunny Kingdom,184921,2017,2,4,40,60,12,7.41822,5064,"['Animals', 'Medieval', 'Territory Building']","['Area Majority \\/ Influence', 'Card Drafting']"
Specter Ops,155624,2015,2,5,60,120,13,7.26905,5036,"['Deduction', 'Fighting', 'Miniatures', 'Science Fiction', 'Spies\\/Secret Agents']","['Dice Rolling', 'Grid Movement', 'Hidden Movement', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game']"
Steampunk Rally,162007,2015,2,8,45,60,14,7.26819,5026,"['Racing', 'Science Fiction']","['Card Drafting', 'Dice Rolling', 'Modular Board', 'Simultaneous Action Selection', 'Variable Player Powers']"
Star Wars: The Card Game,103886,2012,2,2,60,60,10,7.24475,5005,"['Card Game', 'Collectible Components', 'Movies \\/ TV \\/ Radio theme', 'Science Fiction']","['Hand Management', 'Variable Player Powers']"
Dominion: Dark Ages,125403,2012,2,4,30,30,13,8.04992,4999,"['Card Game', 'Expansion for Base-game', 'Medieval']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management']"
Combat Commander: Europe,21050,2006,2,2,60,180,12,7.91859,4981,"['Wargame', 'World War II']","['Campaign \\/ Battle Card Driven', 'Hexagon Grid', 'Simulation', 'Variable Phase Order']"
Tiny Epic Quest,201921,2017,1,4,30,60,14,7.14641,4968,"['Adventure', 'Fantasy', 'Video Game Theme']","['Area Movement', 'Dice Rolling', 'Modular Board', 'Push Your Luck']"
La Città,554,2000,2,5,120,120,12,7.05254,4959,"['City Building', 'Civilization', 'Renaissance', 'Territory Building']","['Area Majority \\/ Influence', 'Card Drafting', 'Commodity Speculation', 'Modular Board', 'Tile Placement']"
Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,112686,2012,2,6,30,30,15,6.5634,4935,"['Fantasy', 'Fighting', 'Humor']","['Dice Rolling', 'Hand Management', 'Take That']"
Azul: Stained Glass of Sintra,256226,2018,2,4,30,45,8,7.52704,4949,['Abstract Strategy'],"['Card Drafting', 'Drafting', 'End Game Bonuses', 'Pattern Building', 'Set Collection', 'Tile Placement']"
Doom: The Boardgame,10640,2004,2,4,180,180,12,6.86568,4920,"['Exploration', 'Fighting', 'Horror', 'Miniatures', 'Science Fiction', 'Video Game Theme']","['Dice Rolling', 'Modular Board', 'Square Grid', 'Team-Based Game', 'Variable Player Powers']"
Vast: The Crystal Caverns,170416,2016,1,5,75,75,10,7.26081,4923,"['Adventure', 'Exploration', 'Fantasy']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Modular Board', 'Role Playing']"
The Castles of Burgundy: The Card Game,191977,2016,1,4,30,60,12,7.09022,4909,['Card Game'],"['Card Drafting', 'Hand Management', 'Set Collection']"
Carcassonne: Expansion 4 – The Tower,21385,2006,2,6,60,60,8,6.56437,4895,"['City Building', 'Expansion for Base-game', 'Medieval', 'Territory Building']","['Area Majority \\/ Influence', 'Tile Placement']"
Egizia,58421,2009,2,4,90,90,12,7.44104,4880,"['Ancient', 'Farming']","['Card Drafting', 'Time Track', 'Worker Placement']"
Talisman,714,1983,2,6,240,240,9,6.36,4867,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Dice Rolling', 'Role Playing', 'Roll \\/ Spin and Move', 'Variable Player Powers']"
Die Macher,1,1986,3,5,240,240,14,7.62345,4867,"['Economic', 'Negotiation', 'Political']","['Area Majority \\/ Influence', 'Auction\\/Bidding', 'Dice Rolling', 'Hand Management', 'Simultaneous Action Selection']"
Dream Factory,904,2000,2,5,60,60,10,7.06122,4856,['Movies \\/ TV \\/ Radio theme'],"['Auction\\/Bidding', 'Set Collection']"
Balderdash,163,1984,2,6,60,60,12,6.42609,4850,"['Bluffing', 'Party Game', 'Word Game']","['Paper-and-Pencil', 'Voting']"
Reef Encounter,12962,2004,2,4,60,120,10,7.14036,4844,"['Animals', 'Environmental', 'Territory Building']","['Area Majority \\/ Influence', 'Card Drafting', 'Commodity Speculation', 'Hand Management', 'Tile Placement']"
Clash of Cultures,40765,2012,2,4,180,240,14,7.64123,4836,"['Ancient', 'City Building', 'Civilization', 'Economic', 'Exploration', 'Territory Building']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Modular Board', 'Trading']"
Hansa,8989,2004,2,4,60,60,10,6.88667,4829,"['Economic', 'Medieval', 'Nautical', 'Transportation']","['Action Points', 'Area Majority \\/ Influence', 'Pick-up and Deliver', 'Point to Point Movement', 'Set Collection']"
Lisboa,161533,2017,1,4,60,120,12,8.18322,4827,"['City Building', 'Economic', 'Political']","['Area Majority \\/ Influence', 'Card Drafting', 'Hand Management', 'Tile Placement']"
Eldritch Horror: Forsaken Lore,154842,2014,1,8,180,180,14,8.29602,4822,"['Adventure', 'Expansion for Base-game', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']","['Cooperative Game', 'Dice Rolling', 'Point to Point Movement', 'Role Playing', 'Storytelling', 'Variable Player Powers']"
The Starfarers of Catan,1897,1999,3,4,120,120,12,6.81111,4820,"['Exploration', 'Negotiation', 'Science Fiction', 'Space Exploration']",['Trading']
Evolution: Climate,182134,2016,2,6,60,60,12,7.69827,4813,"['Animals', 'Card Game', 'Educational', 'Environmental', 'Fighting', 'Prehistoric']","['Action Points', 'Hand Management', 'Push Your Luck', 'Secret Unit Deployment', 'Simulation', 'Take That']"
New York 1901,174660,2015,2,4,30,60,8,6.87829,4779,['City Building'],"['Area Majority \\/ Influence', 'Card Drafting', 'Tile Placement']"
Pass the Pigs,2593,1977,2,10,30,30,8,5.33489,4768,"['Animals', 'Dice', 'Party Game']","['Betting and Bluffing', 'Dice Rolling', 'Push Your Luck']"
The Big Book of Madness,171233,2015,2,5,60,90,12,7.01734,4763,"['Card Game', 'Fantasy']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Hand Management', 'Player Elimination', 'Variable Player Powers']"
Hoity Toity,120,1990,2,6,45,45,12,6.52538,4760,['Bluffing'],"['Rock-Paper-Scissors', 'Set Collection', 'Simultaneous Action Selection']"
Maharaja: The Game of Palace Building in India,9440,2004,2,5,90,90,12,7.13855,4750,['City Building'],"['Area Majority \\/ Influence', 'Network and Route Building', 'Point to Point Movement', 'Simultaneous Action Selection', 'Variable Player Powers']"
Kanban: Driver&#039;s Edition,109276,2014,2,4,90,120,12,7.84892,4757,"['Economic', 'Industry \\/ Manufacturing']","['Action Points', 'Commodity Speculation', 'Variable Phase Order', 'Worker Placement']"
Winner&#039;s Circle,1382,2001,2,6,45,60,10,6.97634,4744,"['Animals', 'Racing', 'Sports']","['Betting and Bluffing', 'Roll \\/ Spin and Move']"
